Name,Position,Team,Ppg,Ast,Trb,Stls,Blks
Jabari Walker,SF,POR,5.2,0.6,3.5,0.6,0.1
Javonte Green,SG,CLE,3.3,0.6,2.2,0.6,0.1
Alex Reese,PF,PHI,5.3,0.3,3.3,0.7,0.7
Bismack Biyombo,C,SAS,5.1,1.1,5.6,0.6,0.8
Mitchell Robinson,C,NYK,5.1,0.8,5.9,0.9,1.1
Kai Jones,C,DAL,11.4,1.3,6.6,0.8,0.8
Ben Simmons,PG,LAC,2.9,3.1,3.8,0.7,0.4
Malaki Branham,SG,SAS,5.0,0.8,1.1,0.2,0.0
Neemias Queta,C,BOS,5.0,0.7,3.8,0.3,0.7
Alondes Williams,SG,DET,5.0,1.0,0.0,0.0,0.0
Jaylen Martin,SF,WAS,5.8,1.3,3.4,0.7,0.0
Lindy Waters III,SG,DET,3.4,0.7,1.0,0.4,0.1
Trevelin Queen,SG,ORL,4.9,1.2,1.7,1.0,0.3
Jock Landale,C,HOU,4.8,0.9,3.3,0.3,0.2
Colin Castleton,C,PHI,6.0,2.0,7.4,0.2,0.2
Taylor Hendricks,PF,UTA,4.7,0.7,5.0,1.7,1.3
